iter	RMSE
0	1.730829373
1	1.641418021
2	1.553210653
3	1.471360164
4	1.394227701
5	1.321815195
6	1.253256717
7	1.187147801
8	1.127433732
9	1.069759171
10	1.015750199
11	0.9677541481
12	0.9190517285
13	0.873176616
14	0.8294590742
15	0.7882232653
16	0.74963337
17	0.7136463263
18	0.6806147164
19	0.6490693977
20	0.6190583331
21	0.5908295055
22	0.5648249938
23	0.5398962694
24	0.5164693613
25	0.4947734028
26	0.4743016532
27	0.4547875446
28	0.4363274673
29	0.4189562425
30	0.4030168
31	0.3878274227
32	0.3741348123
33	0.3616202221
34	0.3499480126
35	0.3386768196
36	0.3282606172
37	0.3183570068
38	0.3090653219
39	0.3004949797
40	0.2925746763
41	0.2851124032
42	0.2782719071
43	0.2720615403
44	0.266116978
45	0.2609107769
46	0.2559145637
47	0.2509537653
48	0.246241083
49	0.2419265926
50	0.2378919854
51	0.2345070688
52	0.2310546407
53	0.2279370194
54	0.2249949563
55	0.22167804
56	0.2190646561
57	0.2166483028
58	0.2144269015
59	0.2118702893
60	0.2099029453
61	0.207925532
62	0.2061508092
63	0.2044136391
64	0.2026077935
65	0.2007417165
66	0.1994703716
67	0.1978184842
68	0.1964635596
69	0.1949045817
70	0.1934706441
71	0.192398661
72	0.1913587359
73	0.1902733823
74	0.1889849082
75	0.1879528623
76	0.1869232822
77	0.1860295536
78	0.1851987126
79	0.184575326
80	0.1835392574
81	0.1827117647
82	0.1818728582
83	0.180938866
84	0.1802982005
85	0.1796591031
86	0.1787691157
87	0.1781566648
88	0.1777132773
89	0.176912545
90	0.1760817793
91	0.175492772
92	0.1746699512
93	0.1739908
94	0.1733769073
95	0.1729101862
96	0.1722972798
97	0.1716834268
98	0.171124605
99	0.1706733688
100	0.1701871173
101	0.1697342053
102	0.1690889395
103	0.1688435332
104	0.1683073315
105	0.1678868674
106	0.1673213749
107	0.1669264366
108	0.1666578431
109	0.1660980475
110	0.1658388557
111	0.165271308
112	0.1650219103
113	0.164647573
114	0.1642964709
115	0.1638953814
116	0.1636107855
117	0.1629290476
118	0.1626467624
119	0.1623255564
120	0.1620433045
121	0.1618131866
122	0.1613095712
123	0.1609920148
124	0.1605001004
125	0.1598842001
126	0.1594933705
127	0.159211002
128	0.1586883794
129	0.1583113608
130	0.1579727829
131	0.1577899636
132	0.1574125802
133	0.1569585017
134	0.156824743
135	0.156658154
136	0.1563323912
137	0.1560840296
138	0.1559102934
139	0.1554969047
140	0.155238398
141	0.1543503074
142	0.1541683742
143	0.1539300838
144	0.1537265693
145	0.1535108661
146	0.1532980379
147	0.1528592282
148	0.1525916795
149	0.152269844
150	0.1515969167
151	0.1515240269
152	0.1513255087
153	0.1508521467
154	0.1507695544
155	0.1506736205
156	0.1501478728
157	0.1499992883
158	0.1498017614
159	0.1489791966
160	0.1488610029
161	0.14877387
162	0.1484995098
163	0.1479786749
164	0.1476944141
165	0.1471230727
166	0.1467789222
167	0.1464760279
168	0.1460217276
169	0.1457442547
170	0.1449999631
171	0.1441947492
172	0.1440571097
173	0.1439819483
174	0.1435465637
175	0.1429169556
176	0.1427329803
177	0.1425933851
178	0.1424707182
179	0.1423169666
180	0.1419448058
181	0.1418412556
182	0.1417397469
183	0.1412364733
184	0.1411330845
185	0.1410655959
186	0.1404280109
187	0.1403296176
188	0.140244177
189	0.1400127523
190	0.1398213643
191	0.1393670157
192	0.1387712829
193	0.138684135
194	0.1381426618
195	0.1380705247
196	0.1374526996
197	0.1373746602
198	0.1369813996
199	0.1368930362
200	0.1364572493
201	0.1361594493
202	0.1357659705
203	0.1356828068
204	0.1354629448
205	0.1351595896
206	0.1346272339
207	0.1338571841
208	0.1334006971
209	0.1331359369
210	0.132658248
211	0.1325506942
212	0.1321910342
213	0.1321255038
214	0.131925241
215	0.1315245626
216	0.1312066483
217	0.1310691713
218	0.1305668482
219	0.1304105135
220	0.1298700423
221	0.1298123663
222	0.129406635
223	0.1289415345
224	0.1286770042
225	0.1285218887
226	0.1283753847
227	0.1279189547
228	0.127722156
229	0.1274303575
230	0.1273270801
231	0.1272811292
232	0.1268170229
233	0.1262490416
234	0.1259496256
235	0.1256845319
236	0.1252818502
237	0.1251805421
238	0.1250479925
239	0.1248381127
240	0.1246323357
241	0.1243195001
242	0.1239396793
243	0.1238898759
244	0.1236917247
245	0.1235233167
246	0.123243531
247	0.1227899907
248	0.1224544976
249	0.1223261544
250	0.1221551792
251	0.121797366
252	0.121690001
253	0.1215226465
254	0.1213792922
255	0.1212923166
256	0.1209690885
257	0.1209324983
258	0.1205879743
259	0.1200203086
260	0.119916864
261	0.1194142213
262	0.1191717083
263	0.1187145018
264	0.1184889074
265	0.1184380512
266	0.1183998713
267	0.1181751873
268	0.1181242028
269	0.1177404104
270	0.1176437016
271	0.1175059566
272	0.1172711998
273	0.1169504228
274	0.1167560316
275	0.1164362303
276	0.1163129804
277	0.1160603935
278	0.1157871445
279	0.1155703131
280	0.1152200823
281	0.115121297
282	0.114999088
283	0.1149266022
284	0.114369786
285	0.1141531233
286	0.1136601758
287	0.113562681
288	0.1131630102
289	0.1127470642
290	0.1122906409
291	0.112244531
292	0.1120664685
293	0.1117584036
294	0.1117216123
295	0.1114546135
296	0.1111928383
297	0.1111585807
298	0.1110593961
299	0.1105806679
300	0.1101336565
301	0.1101064588
302	0.1100155976
303	0.1096623859
304	0.10963596
305	0.1093965614
306	0.1091825132
307	0.1087540131
308	0.1085846399
309	0.1085130775
310	0.1085019846
311	0.1084359984
312	0.1081712686
313	0.1081450782
314	0.1077143629
315	0.1074012485
316	0.1071191405
317	0.1069244842
318	0.1066878593
319	0.1065727681
320	0.1064057488
321	0.1062946012
322	0.1060158488
323	0.1059585758
324	0.105927306
325	0.1055605241
326	0.1055098646
327	0.1052024622
328	0.105170859
329	0.1049407744
330	0.1048880089
331	0.1047142328
332	0.10462671
333	0.1044705734
334	0.1041159788
335	0.1040892195
336	0.1040280083
337	0.1039382561
338	0.1037707197
339	0.1034806458
340	0.1031818167
341	0.1028803422
342	0.1028340184
343	0.1025441547
344	0.1023940721
345	0.1021193533
346	0.1018529524
347	0.1015381846
348	0.101530675
349	0.1014740206
350	0.1014161672
351	0.1013337866
352	0.1012414021
353	0.1010315841
354	0.1006791872
355	0.1004819208
356	0.1002340437
357	0.1001194984
358	0.09976627788
359	0.09968447303
360	0.09961102626
361	0.09953258623
362	0.09939299649
363	0.09918271514
364	0.09885159754
365	0.09882282848
366	0.09880228058
367	0.09870718369
368	0.09839076161
369	0.09826015367
