iter	Passed	Remaining
0	55	55178
1	57	28759
2	60	19947
3	62	15564
4	65	12953
5	67	11198
6	70	9979
7	72	9021
8	75	8298
9	77	7711
10	80	7220
11	82	6818
12	85	6500
13	88	6204
14	90	5951
15	93	5722
16	95	5530
17	98	5347
18	100	5197
19	103	5056
20	105	4928
21	108	4809
22	110	4705
23	113	4609
24	115	4514
25	118	4433
26	120	4351
27	123	4277
28	125	4207
29	128	4144
30	130	4081
31	133	4036
32	135	3979
33	138	3925
34	140	3878
35	143	3830
36	145	3784
37	147	3744
38	150	3711
39	152	3670
40	155	3630
41	157	3598
42	160	3567
43	162	3535
44	165	3509
45	167	3483
46	170	3454
47	172	3427
48	175	3401
49	177	3373
50	180	3351
51	183	3336
52	185	3314
53	188	3294
54	190	3277
55	193	3255
56	195	3233
57	198	3216
58	200	3197
59	203	3183
60	205	3166
61	208	3147
62	210	3128
63	212	3112
64	215	3094
65	217	3081
66	220	3070
67	223	3060
68	226	3050
69	228	3037
70	231	3026
71	233	3015
72	236	3000
73	238	2987
74	241	2974
75	243	2960
76	246	2951
77	248	2942
78	251	2931
79	253	2919
80	256	2906
81	258	2894
82	261	2887
83	263	2876
84	266	2866
85	268	2855
86	271	2849
87	274	2843
88	277	2839
89	280	2832
90	282	2824
91	285	2815
92	287	2804
93	290	2797
94	292	2787
95	295	2781
96	297	2773
97	300	2764
98	302	2755
99	305	2745
100	307	2736
101	310	2730
102	312	2720
103	314	2710
104	317	2703
105	319	2695
106	322	2687
107	324	2679
108	327	2673
109	329	2666
110	331	2658
111	334	2650
112	336	2645
113	339	2639
114	342	2634
115	344	2625
116	347	2620
117	349	2613
118	351	2604
119	354	2597
120	356	2590
121	359	2585
122	361	2577
123	363	2570
124	366	2564
125	368	2558
126	371	2554
127	374	2551
128	377	2548
129	379	2542
130	382	2535
131	384	2529
132	387	2523
133	389	2517
134	391	2511
135	394	2506
136	396	2500
137	399	2496
138	401	2489
139	404	2484
140	407	2479
141	409	2472
142	411	2466
143	413	2459
144	416	2453
145	418	2447
146	420	2441
147	423	2436
148	425	2431
149	428	2425
150	430	2420
151	432	2414
152	435	2409
153	437	2403
154	439	2397
155	442	2391
156	444	2386
157	447	2382
158	449	2378
159	452	2373
160	454	2370
161	457	2365
162	459	2360
163	462	2355
164	464	2349
165	466	2343
166	469	2339
167	471	2336
168	473	2330
169	476	2327
170	479	2323
171	481	2319
172	484	2314
173	486	2309
174	488	2304
175	491	2300
176	493	2295
177	495	2290
178	498	2285
179	500	2281
180	503	2276
181	505	2272
182	507	2267
183	510	2263
184	512	2258
185	514	2253
186	517	2248
187	519	2245
188	522	2241
189	524	2237
190	527	2232
191	529	2228
192	531	2223
193	534	2218
194	537	2217
195	539	2213
196	541	2208
197	544	2204
198	546	2199
199	548	2195
200	551	2191
201	553	2187
202	556	2183
203	558	2179
204	561	2176
205	563	2171
206	565	2167
207	568	2163
208	570	2159
209	573	2155
210	575	2151
211	577	2147
212	580	2143
213	582	2139
214	585	2137
215	587	2133
216	590	2130
217	592	2126
218	595	2122
219	597	2119
220	600	2116
221	602	2113
222	605	2108
223	607	2105
224	610	2101
225	612	2098
226	615	2094
227	617	2092
228	620	2087
229	622	2083
230	624	2079
231	627	2076
232	629	2072
233	632	2069
234	634	2065
235	636	2061
236	639	2057
237	641	2054
238	643	2050
239	646	2046
240	648	2043
241	651	2040
242	653	2036
243	656	2033
244	658	2030
245	661	2027
246	663	2023
247	666	2020
248	669	2018
249	671	2015
250	674	2011
251	676	2008
252	678	2004
253	681	2001
254	683	1998
255	686	1994
256	688	1991
257	691	1987
258	693	1983
259	695	1979
260	698	1976
261	701	1974
262	703	1971
263	705	1967
264	708	1964
265	710	1960
266	712	1957
267	715	1953
268	717	1950
269	720	1946
270	722	1943
271	724	1939
272	727	1936
273	730	1934
274	732	1930
275	734	1927
276	736	1923
277	739	1920
278	741	1916
279	744	1913
280	746	1911
281	749	1907
282	751	1904
283	753	1900
284	756	1896
285	758	1892
286	760	1889
287	763	1886
288	765	1883
289	768	1880
290	770	1877
291	772	1873
292	775	1870
293	777	1868
294	780	1865
295	782	1862
296	785	1859
297	787	1855
298	790	1852
299	792	1849
300	795	1846
301	797	1843
302	800	1840
303	802	1836
304	804	1833
305	807	1830
306	809	1827
307	812	1824
308	814	1821
309	816	1818
310	819	1814
311	821	1811
312	823	1807
313	826	1805
314	828	1801
315	830	1798
316	833	1795
317	836	1793
318	838	1789
319	840	1786
320	843	1783
321	845	1780
322	847	1777
323	850	1773
324	852	1770
325	855	1767
326	857	1764
327	860	1762
328	862	1758
329	864	1756
330	867	1753
331	870	1751
332	872	1748
333	875	1745
334	877	1742
335	880	1739
336	882	1736
337	885	1733
338	887	1730
339	890	1727
340	892	1724
341	894	1721
342	897	1718
343	899	1715
344	902	1712
345	904	1709
346	907	1707
347	910	1705
348	912	1702
349	914	1699
350	917	1695
351	919	1692
352	921	1689
353	924	1686
354	926	1684
355	929	1681
356	931	1678
357	934	1675
358	936	1672
359	939	1669
360	941	1666
361	944	1664
362	946	1661
363	949	1658
364	951	1655
365	954	1653
366	956	1650
367	959	1647
368	961	1644
369	964	1641
370	966	1638
371	968	1635
372	971	1633
373	974	1630
374	976	1627
375	978	1624
376	981	1621
377	983	1618
378	985	1615
379	988	1613
380	991	1610
381	993	1607
382	995	1604
383	998	1601
384	1000	1598
385	1002	1595
386	1005	1592
387	1007	1589
388	1010	1586
389	1012	1583
390	1015	1580
391	1017	1577
392	1020	1575
393	1022	1573
394	1025	1570
395	1027	1567
396	1030	1565
397	1033	1562
398	1035	1560
399	1038	1557
400	1040	1554
401	1043	1552
402	1046	1550
403	1048	1547
404	1051	1544
405	1053	1541
406	1056	1539
407	1059	1536
408	1061	1533
409	1063	1531
410	1066	1528
411	1069	1526
412	1072	1523
413	1074	1521
414	1077	1518
415	1079	1515
416	1082	1512
417	1084	1510
418	1087	1507
419	1089	1505
420	1092	1502
421	1094	1499
422	1097	1496
423	1099	1494
424	1102	1491
425	1104	1488
426	1107	1486
427	1109	1483
428	1112	1480
429	1115	1478
430	1117	1475
431	1120	1472
432	1122	1470
433	1125	1467
434	1127	1464
435	1130	1461
436	1133	1459
437	1135	1457
438	1138	1454
439	1140	1451
440	1143	1449
441	1145	1446
442	1148	1443
443	1151	1441
444	1153	1438
445	1155	1435
446	1158	1433
447	1161	1430
448	1163	1428
449	1166	1425
450	1168	1422
451	1171	1420
452	1173	1417
453	1176	1415
454	1179	1412
455	1182	1410
456	1184	1407
457	1187	1405
458	1189	1402
459	1192	1400
460	1195	1397
461	1197	1394
462	1200	1391
463	1202	1389
464	1205	1386
465	1207	1384
466	1210	1381
467	1213	1379
468	1215	1376
469	1218	1374
470	1221	1371
471	1223	1369
472	1226	1366
473	1229	1363
474	1231	1361
475	1234	1358
476	1236	1355
477	1239	1353
478	1241	1350
479	1244	1347
480	1246	1345
481	1249	1342
482	1252	1340
483	1254	1337
484	1257	1335
485	1259	1332
486	1262	1330
487	1265	1327
488	1267	1324
489	1270	1322
490	1272	1319
491	1275	1316
492	1277	1313
493	1280	1311
494	1282	1308
495	1285	1306
496	1288	1303
497	1290	1300
498	1293	1298
499	1295	1295
500	1298	1292
501	1300	1290
502	1303	1287
503	1305	1285
504	1308	1282
505	1311	1279
506	1313	1277
507	1315	1274
508	1318	1271
509	1321	1269
510	1323	1266
511	1326	1264
512	1328	1261
513	1331	1258
514	1333	1256
515	1336	1253
516	1338	1250
517	1341	1248
518	1344	1245
519	1346	1242
520	1349	1240
521	1351	1237
522	1353	1234
523	1356	1232
524	1358	1229
525	1362	1227
526	1364	1224
527	1367	1222
528	1370	1220
529	1373	1217
530	1376	1215
531	1378	1212
532	1381	1210
533	1383	1207
534	1385	1204
535	1388	1202
536	1391	1199
537	1394	1197
538	1396	1194
539	1399	1191
540	1401	1189
541	1404	1186
542	1406	1183
543	1409	1181
544	1411	1178
545	1414	1176
546	1417	1173
547	1419	1170
