;date;time;temp
88205;2021-12-31;0:01:44;19.31
88206;2021-12-31;0:12:03;19.37
88207;2021-12-31;0:22:23;19.37
88208;2021-12-31;0:32:42;19.31
88209;2021-12-31;0:43:01;19.31
88210;2021-12-31;0:53:20;19.31
88211;2021-12-31;1:03:39;19.31
88212;2021-12-31;1:13:58;19.37
88213;2021-12-31;1:24:17;19.31
88214;2021-12-31;1:34:36;19.31
88215;2021-12-31;1:44:55;19.31
88216;2021-12-31;1:55:14;19.31
88217;2021-12-31;2:05:33;19.31
88218;2021-12-31;2:15:52;19.31
88219;2021-12-31;2:26:11;19.19
88220;2021-12-31;2:36:30;19.19
88221;2021-12-31;2:46:49;19.19
88222;2021-12-31;2:57:09;19.25
88223;2021-12-31;3:07:28;19.31
88224;2021-12-31;3:17:47;19.37
88225;2021-12-31;3:28:06;19.37
88226;2021-12-31;3:38:25;19.37
88227;2021-12-31;3:48:44;19.37
88228;2021-12-31;3:59:03;19.37
88229;2021-12-31;4:09:22;19.37
88230;2021-12-31;4:19:42;19.31
88231;2021-12-31;4:30:01;19.37
88232;2021-12-31;4:40:20;19.37
88233;2021-12-31;4:50:39;19.31
88234;2021-12-31;5:00:58;19.44
88235;2021-12-31;5:11:17;19.44
88236;2021-12-31;5:21:36;19.37
88237;2021-12-31;5:31:55;19.31
88238;2021-12-31;5:42:14;19.44
88239;2021-12-31;5:52:33;19.37
88240;2021-12-31;6:02:52;19.44
88241;2021-12-31;6:13:11;19.44
88242;2021-12-31;6:23:30;19.37
88243;2021-12-31;6:33:50;19.44
88244;2021-12-31;6:44:09;19.56
88245;2021-12-31;6:54:28;19.56
88246;2021-12-31;7:04:47;19.56
88247;2021-12-31;7:15:06;19.5
88248;2021-12-31;7:25:25;19.5
88249;2021-12-31;7:35:44;19.5
88250;2021-12-31;7:46:03;19.5
88251;2021-12-31;7:56:23;19.56
88252;2021-12-31;8:06:42;19.5
88253;2021-12-31;8:17:01;19.5
88254;2021-12-31;8:27:20;19.5
88255;2021-12-31;8:37:39;19.62
88256;2021-12-31;8:47:58;19.62
88257;2021-12-31;8:58:17;19.62
88258;2021-12-31;9:08:36;19.69
88259;2021-12-31;9:18:55;19.69
88260;2021-12-31;9:29:14;19.69
88261;2021-12-31;9:39:33;19.69
88262;2021-12-31;9:49:52;19.69
88263;2021-12-31;10:00:11;19.62
88264;2021-12-31;10:10:30;19.69
88265;2021-12-31;10:20:49;19.69
88266;2021-12-31;10:31:08;19.69
88267;2021-12-31;10:41:27;19.62
88268;2021-12-31;10:51:46;19.62
88269;2021-12-31;11:02:05;19.69
88270;2021-12-31;11:12:24;19.69
88271;2021-12-31;11:22:44;19.81
88272;2021-12-31;11:33:03;19.87
88273;2021-12-31;11:43:22;19.81
88274;2021-12-31;11:53:41;19.81
88275;2021-12-31;12:04:00;19.87
88276;2021-12-31;12:14:19;20.0
88277;2021-12-31;12:24:38;20.12
88278;2021-12-31;12:34:57;20.06
88279;2021-12-31;12:45:16;20.12
88280;2021-12-31;12:55:35;20.31
88281;2021-12-31;13:05:54;20.37
88282;2021-12-31;13:16:13;20.5
88283;2021-12-31;13:26:32;20.62
88284;2021-12-31;13:36:51;20.88
88285;2021-12-31;13:47:10;20.94
88286;2021-12-31;13:57:29;20.94
88287;2021-12-31;14:07:48;21.0
88288;2021-12-31;14:18:07;21.19
88289;2021-12-31;14:28:26;21.25
88290;2021-12-31;14:38:45;21.37
88291;2021-12-31;14:49:04;21.62
88292;2021-12-31;14:59:23;21.69
88293;2021-12-31;15:09:42;21.81
88294;2021-12-31;15:20:01;21.87
88295;2021-12-31;15:30:21;21.94
88296;2021-12-31;15:40:40;22.0
88297;2021-12-31;15:50:59;22.0
88298;2021-12-31;16:01:18;22.0
88299;2021-12-31;16:11:37;21.94
88300;2021-12-31;16:21:56;21.94
88301;2021-12-31;16:32:15;21.75
88302;2021-12-31;16:42:34;21.81
88303;2021-12-31;16:52:53;21.62
88304;2021-12-31;17:03:12;21.62
88305;2021-12-31;17:13:31;21.69
88306;2021-12-31;17:23:50;21.62
88307;2021-12-31;17:34:09;21.56
88308;2021-12-31;17:44:28;21.44
88309;2021-12-31;17:54:47;21.56
88310;2021-12-31;18:05:07;21.5
88311;2021-12-31;18:15:26;21.5
88312;2021-12-31;18:25:45;21.44
88313;2021-12-31;18:36:04;21.37
88314;2021-12-31;18:46:23;21.44
88315;2021-12-31;18:56:42;21.37
88316;2021-12-31;19:07:01;21.37
88317;2021-12-31;19:17:20;21.31
88318;2021-12-31;19:27:39;21.25
88319;2021-12-31;19:37:58;21.19
88320;2021-12-31;19:48:17;21.25
88321;2021-12-31;19:58:36;21.19
88322;2021-12-31;20:08:56;21.12
88323;2021-12-31;20:19:15;21.06
88324;2021-12-31;20:29:34;21.06
88325;2021-12-31;20:39:53;21.0
88326;2021-12-31;20:50:12;21.0
88327;2021-12-31;21:00:31;21.0
88328;2021-12-31;21:10:50;20.88
88329;2021-12-31;21:21:09;20.88
88330;2021-12-31;21:31:28;20.81
88331;2021-12-31;21:41:47;20.81
88332;2021-12-31;21:52:06;20.81
88333;2021-12-31;22:02:25;20.88
88334;2021-12-31;22:12:44;20.75
88335;2021-12-31;22:23:04;20.69
88336;2021-12-31;22:33:23;20.62
88337;2021-12-31;22:43:42;20.75
88338;2021-12-31;22:54:01;20.69
88339;2021-12-31;23:04:20;20.69
88340;2021-12-31;23:14:39;20.56
88341;2021-12-31;23:24:58;20.62
88342;2021-12-31;23:35:17;20.62
88343;2021-12-31;23:45:36;20.62
88344;2021-12-31;23:55:55;20.56
88345;2022-01-01;0:06:14;20.56
88346;2022-01-01;0:16:33;20.56
88347;2022-01-01;0:26:52;20.5
88348;2022-01-01;0:37:11;20.5
88349;2022-01-01;0:47:31;20.44
88350;2022-01-01;0:57:50;20.31
88351;2022-01-01;1:08:09;20.44
88352;2022-01-01;1:18:28;20.31
88353;2022-01-01;1:28:47;20.31
88354;2022-01-01;1:39:06;20.37
88355;2022-01-01;1:49:25;20.31
88356;2022-01-01;1:59:44;20.25
88357;2022-01-01;2:10:03;20.44
88358;2022-01-01;2:20:22;20.37
88359;2022-01-01;2:30:41;20.31
