;date;time;temp
68803;2021-09-18;0:08:45;22.87
68804;2021-09-18;0:19:04;22.87
68805;2021-09-18;0:29:23;22.81
68806;2021-09-18;0:39:42;22.81
68807;2021-09-18;0:50:01;22.75
68808;2021-09-18;1:00:20;22.75
68809;2021-09-18;1:10:39;22.81
68810;2021-09-18;1:20:58;22.69
68811;2021-09-18;1:31:17;22.69
68812;2021-09-18;1:41:36;22.69
68813;2021-09-18;1:51:55;22.62
68814;2021-09-18;2:02:17;22.62
68815;2021-09-18;2:12:36;22.62
68816;2021-09-18;2:22:56;22.62
68817;2021-09-18;2:33:15;22.56
68818;2021-09-18;2:43:34;22.56
68819;2021-09-18;2:53:53;22.56
68820;2021-09-18;3:04:12;22.5
68821;2021-09-18;3:14:31;22.44
68822;2021-09-18;3:24:50;22.44
68823;2021-09-18;3:35:09;22.44
68824;2021-09-18;3:45:28;22.37
68825;2021-09-18;3:55:47;22.44
68826;2021-09-18;4:06:06;22.37
68827;2021-09-18;4:16:25;22.37
68828;2021-09-18;4:26:44;22.31
68829;2021-09-18;4:37:03;22.31
68830;2021-09-18;4:47:23;22.25
68831;2021-09-18;4:57:42;22.25
68832;2021-09-18;5:08:01;22.25
68833;2021-09-18;5:18:20;22.25
68834;2021-09-18;5:28:39;22.19
68835;2021-09-18;5:38:58;22.19
68836;2021-09-18;5:49:17;22.19
68837;2021-09-18;5:59:36;22.13
68838;2021-09-18;6:09:55;22.13
68839;2021-09-18;6:20:14;22.13
68840;2021-09-18;6:30:33;22.13
68841;2021-09-18;6:40:52;22.06
68842;2021-09-18;6:51:12;22.13
68843;2021-09-18;7:01:31;22.06
68844;2021-09-18;7:11:50;22.0
68845;2021-09-18;7:22:09;22.0
68846;2021-09-18;7:32:28;22.06
68847;2021-09-18;7:42:47;22.0
68848;2021-09-18;7:53:06;22.0
68849;2021-09-18;8:03:25;22.0
68850;2021-09-18;8:13:44;22.06
68851;2021-09-18;8:24:03;22.0
68852;2021-09-18;8:34:22;22.0
68853;2021-09-18;8:44:41;22.06
68854;2021-09-18;8:55:00;22.06
68855;2021-09-18;9:05:19;22.06
68856;2021-09-18;9:15:38;22.06
68857;2021-09-18;9:25:57;22.06
68858;2021-09-18;9:36:17;22.13
68859;2021-09-18;9:46:36;22.13
68860;2021-09-18;9:56:55;22.13
68861;2021-09-18;10:07:14;22.13
68862;2021-09-18;10:17:33;22.19
68863;2021-09-18;10:27:52;22.25
68864;2021-09-18;10:38:11;22.31
68865;2021-09-18;10:48:30;22.31
68866;2021-09-18;10:58:49;22.37
68867;2021-09-18;11:09:08;22.5
68868;2021-09-18;11:19:27;22.5
68869;2021-09-18;11:29:46;22.56
68870;2021-09-18;11:40:06;22.62
68871;2021-09-18;11:50:25;22.62
68872;2021-09-18;12:00:44;22.69
68873;2021-09-18;12:11:03;22.69
68874;2021-09-18;12:21:22;22.75
68875;2021-09-18;12:31:41;22.81
68876;2021-09-18;12:42:00;22.87
68877;2021-09-18;12:52:19;22.94
68878;2021-09-18;13:02:38;23.12
68879;2021-09-18;13:12:57;23.38
68880;2021-09-18;13:23:16;23.56
68881;2021-09-18;13:33:35;23.75
68882;2021-09-18;13:43:54;23.94
68883;2021-09-18;13:54:13;24.0
68884;2021-09-18;14:04:32;24.06
68885;2021-09-18;14:14:51;24.12
68886;2021-09-18;14:25:10;24.12
68887;2021-09-18;14:35:29;24.06
68888;2021-09-18;14:45:48;24.06
68889;2021-09-18;14:56:07;23.94
68890;2021-09-18;15:06:26;23.94
68891;2021-09-18;15:16:46;23.87
68892;2021-09-18;15:27:05;23.87
68893;2021-09-18;15:37:24;23.81
68894;2021-09-18;15:47:43;23.81
68895;2021-09-18;15:58:02;23.75
68896;2021-09-18;16:08:21;23.81
68897;2021-09-18;16:18:40;23.81
68898;2021-09-18;16:28:59;23.81
68899;2021-09-18;16:39:18;23.81
68900;2021-09-18;16:49:37;23.94
68901;2021-09-18;16:59:57;24.06
68902;2021-09-18;17:10:16;24.19
68903;2021-09-18;17:20:35;24.37
68904;2021-09-18;17:30:54;24.5
68905;2021-09-18;17:41:13;24.56
68906;2021-09-18;17:51:32;24.63
68907;2021-09-18;18:01:51;24.63
68908;2021-09-18;18:12:10;24.63
68909;2021-09-18;18:22:29;24.63
68910;2021-09-18;18:32:48;24.56
68911;2021-09-18;18:43:08;24.56
68912;2021-09-18;18:53:27;24.44
68913;2021-09-18;19:03:46;24.37
68914;2021-09-18;19:14:05;24.44
68915;2021-09-18;19:24:24;24.37
68916;2021-09-18;19:34:43;24.31
68917;2021-09-18;19:45:02;24.25
68918;2021-09-18;19:55:21;24.19
68919;2021-09-18;20:05:40;24.19
68920;2021-09-18;20:15:59;24.12
68921;2021-09-18;20:26:18;24.06
68922;2021-09-18;20:36:37;24.0
68923;2021-09-18;20:46:56;23.94
68924;2021-09-18;20:57:16;23.87
68925;2021-09-18;21:07:35;23.87
68926;2021-09-18;21:17:54;23.81
68927;2021-09-18;21:28:13;23.75
68928;2021-09-18;21:38:32;23.75
68929;2021-09-18;21:48:51;23.69
68930;2021-09-18;21:59:10;23.69
68931;2021-09-18;22:09:29;23.62
68932;2021-09-18;22:19:48;23.62
68933;2021-09-18;22:30:07;23.56
68934;2021-09-18;22:40:26;23.56
68935;2021-09-18;22:50:45;23.5
68936;2021-09-18;23:01:04;23.44
68937;2021-09-18;23:11:23;23.5
68938;2021-09-18;23:21:43;23.44
68939;2021-09-18;23:32:02;23.38
68940;2021-09-18;23:42:21;23.31
68941;2021-09-18;23:52:40;23.31
68942;2021-09-19;0:02:59;23.25
68943;2021-09-19;0:13:18;23.25
68944;2021-09-19;0:23:37;23.25
68945;2021-09-19;0:33:56;23.12
68946;2021-09-19;0:44:15;23.19
68947;2021-09-19;0:54:34;23.12
68948;2021-09-19;1:04:53;23.12
68949;2021-09-19;1:15:12;23.12
68950;2021-09-19;1:25:32;23.06
68951;2021-09-19;1:35:51;23.06
68952;2021-09-19;1:46:10;23.06
68953;2021-09-19;1:56:29;23.0
68954;2021-09-19;2:06:48;22.94
68955;2021-09-19;2:17:07;22.94
68956;2021-09-19;2:27:26;22.94
68957;2021-09-19;2:37:45;22.87
68958;2021-09-19;2:48:04;22.87
68959;2021-09-19;2:58:23;22.81
68960;2021-09-19;3:08:42;22.75
68961;2021-09-19;3:19:01;22.75
68962;2021-09-19;3:29:20;22.69
68963;2021-09-19;3:39:39;22.75
68964;2021-09-19;4:00:23;22.69
68965;2021-09-19;4:10:42;22.62
68966;2021-09-19;4:21:01;22.69
